"Index","Study_nr.","Biodiversity_model","Model","Agricultural_technology_and_efficiency","Agricultural_trade_policies","Diet_changes","Greenhouse_gas_emission_markets","Nature_protection","Negative_emission_technologies","Nuclear_energy","Reduced_food_waste","Restoration","Sustainable_agricultural_intensification","Sustainable_forest_management","Cluster_1","Cluster_2","Biodiversity_impact","Biodiversity_indicator","Interventions_number"
7,6,"AIM-B, INSIGHTS, LPI-M, GLOBIO, PREDICTS, cSAR_CB17, BILBI, cSAR_US16","AIM, GLOBIOM, IMAGE, MAGPIE",1,1,0,0,0,0,0,0,0,0,0,0,0,0.479891483988691,"SDG15_Area_of_habitat_(ESH/AOH)",2
7,6,"AIM-B, INSIGHTS, LPI-M, GLOBIO, PREDICTS, cSAR_CB17, BILBI, cSAR_US16","AIM, GLOBIOM, IMAGE, MAGPIE",1,1,0,0,0,0,0,0,0,0,0,0,0,0.182428508376649,"SDG15_Living_planet_index_(LPI)",2
7,6,"AIM-B, INSIGHTS, LPI-M, GLOBIO, PREDICTS, cSAR_CB17, BILBI, cSAR_US16","AIM, GLOBIOM, IMAGE, MAGPIE",1,1,0,0,0,0,0,0,0,0,0,0,0,0.105823468160574,"SDG15_Mean_species_abundance_terrestrial_(MSA)",2
7,6,"AIM-B, INSIGHTS, LPI-M, GLOBIO, PREDICTS, cSAR_CB17, BILBI, cSAR_US16","AIM, GLOBIOM, IMAGE, MAGPIE",1,1,0,0,0,0,0,0,0,0,0,0,0,0.508160159920774,"SDG15_Biodiversity_intactness_index_(BII)",2
7,6,"AIM-B, INSIGHTS, LPI-M, GLOBIO, PREDICTS, cSAR_CB17, BILBI, cSAR_US16","AIM, GLOBIOM, IMAGE, MAGPIE",1,1,0,0,0,0,0,0,0,0,0,0,0,0.209663167802381,"SDG15_Fraction_regionally_remaining_species_(FRRS)",2
7,6,"AIM-B, INSIGHTS, LPI-M, GLOBIO, PREDICTS, cSAR_CB17, BILBI, cSAR_US16","AIM, GLOBIOM, IMAGE, MAGPIE",1,1,0,0,0,0,0,0,0,0,0,0,0,0.205338975047323,"SDG15_Fraction_globally_remaining_species_(cSAR_CB17BDM)",2
7,6,"AIM-B, INSIGHTS, LPI-M, GLOBIO, PREDICTS, cSAR_CB17, BILBI, cSAR_US16","AIM, GLOBIOM, IMAGE, MAGPIE",1,1,0,0,0,0,0,0,0,0,0,0,0,0.311885368185808,"SDG15_Fraction_globally_remaining_species_(cSAR_US16BDM)",2
8,6,"AIM-B, INSIGHTS, LPI-M, GLOBIO, PREDICTS, cSAR_CB17, BILBI, cSAR_US16","AIM, GLOBIOM, IMAGE, MAGPIE",0,0,1,0,0,0,0,1,0,0,0,0,0,0.542773816373416,"SDG15_Area_of_habitat_(ESH/AOH)",2
8,6,"AIM-B, INSIGHTS, LPI-M, GLOBIO, PREDICTS, cSAR_CB17, BILBI, cSAR_US16","AIM, GLOBIOM, IMAGE, MAGPIE",0,0,1,0,0,0,0,1,0,0,0,0,0,0.265839261731372,"SDG15_Living_planet_index_(LPI)",2
8,6,"AIM-B, INSIGHTS, LPI-M, GLOBIO, PREDICTS, cSAR_CB17, BILBI, cSAR_US16","AIM, GLOBIOM, IMAGE, MAGPIE",0,0,1,0,0,0,0,1,0,0,0,0,0,0.242409572414338,"SDG15_Mean_species_abundance_terrestrial_(MSA)",2
